name;price;diameter;weight;alloy;denomination;edge;producer
American Eagle 1 oz Silver 2021;$47.88;40,6 mm;1 oz;Ag .999;1$;Reeded;United States Mint
Krugerrand 1 oz Silver 2021;$34.21;38,7 mm;1 oz;Ag .999;1 Rand;Reeded;The South Africa Mint
Canadian Maple Leaf 1 oz Silver 2021;$33.95;38 mm;1 oz;Ag .9999;5$;Reeded;Royal Canadian Mint 
Wedding 1 oz Silver 2021 Proof;$82.88;40,9 mm;1 oz;Ag .9999;1$;Reeded;Perth Mint
Rwanda: African Ounce - Okapi 1 oz Silver 2021 Proof;$111.83;40 mm;1 oz;Ag .999;50 RWF Franc;Reeded;Bayer Mint
Rwanda: African Ounce - Okapi 1 oz Silver 2021;$41.84;40 mm;1 oz;Ag .999;50 RWF Franc;Reeded;Bayer Mint
Montserrat Oriole 1 oz Silver 2020;$39.47;39 mm;1 oz;Ag .999;2$;Reeded;Scottsdale Mint 
Republic of Ghana: Leopard 1 oz Silver 2020;$39.47;38,6 mm;1 oz;Ag .999;5 CEDIS;Reeded;Scottsdale Mint 
Kiwi 1 oz Silver 2019;$68.15;40 mm;1 oz;Ag .999;1$;Reeded;New Zealand Post
Kiwi 1 oz Silver 2018;$68.15;40 mm;1 oz;Ag .999;1$;Reeded;New Zealand Post
Kiwi 1 oz Silver 2017;$68.15;40 mm;1 oz;Ag .999;1$;Reeded;New Zealand Post
Britannia 1 oz Silver 2021;$33.69;38,61 mm;1 oz;Ag .999;£2;Reeded;The Royal Mint
Grenada: Octopus 1 oz Silver 2020;$39.47;39 mm;1 oz;Ag .999;2$;Reeded;Scottsdale Mint 
African Wildlife: Somalia Elephant 1 oz Silver 2021 Investment Sets 500 Pc.;$16,842.55;39 mm;500 oz;Ag .9999;100 Shillings;Reeded;Bavarian Mint
African Wildlife: Somalia Elephant 1 oz Silver 2021 Investment Sets 100 Pc.;$3,394.76;39 mm;100 oz;Ag .9999;100 Shillings;Reeded;Bavarian Mint
Ghana: Giants of the Ice Age - Cave Bear 1 oz Silver 2020;$39.21;38,6 mm;1 oz;Ag .999;5 Cedis GHS;Reeded;Leipziger Edelmetallverarbeitung
African Wildlife: Somalia Elephant 1 oz Silver 2021 Investment Sets 20 Pc.;$681.58;39 mm;20 oz;Ag .9999;100 Shillings;Reeded;Bavarian Mint
African Wildlife: Somalia Elephant 1 oz Silver 2021;$34.21;39 mm;1 oz;Ag .9999;100 Shillings;Reeded;Bavarian Mint
Quokka 1 oz Silver 2020;$41.84;40,9 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Australian Kangaroo 1 oz Silver Sets 250 Pc. 2021;$7,926.08;40,6 mm;250 oz;Ag .9999;1 AUD;Interrupted Reeded;Perth Mint
Australian Kangaroo 1 oz Silver Sets 100 Pc. 2021;$3,183.56;40,6 mm;100 oz;Ag .9999;1 AUD;Interrupted Reeded;Perth Mint
Australian Kangaroo 1 oz Silver Sets 25 Pc. 2021;$809.02;40,6 mm;25 uncji ;Ag .9999;1 AUD;Interrupted Reeded;Perth Mint
Koala 1 oz Silver 2021;$36.84;40,6 mm;1 oz;Ag .9999;1$;Reeded;Perth Mint
Rwanda: Lunar - Year of the Ox 1 oz Silver 2021 Proof;$104.99;40 mm;1 oz;Ag .999;50 RWF Franc;Reeded;Private Mint 
Rwanda: Lunar - Year of the Ox 1 oz Silver 2021;$49.73;40 mm;1 oz;Ag .999;50 RWF Franc;Reeded;Private Mint 
Australian Emu 1 oz Silver 2020 MS 70 NGC First Day of Issue;$94.72;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Coin Set Australian Emu 1 oz Silver Proof 2018 and 2019 and 2020 ;$157.87;40,6 mm;3 oz;Ag .9999;null;Reeded;Perth Mint
Guardian Lions (Double Pixiu) 1 oz Silver 2020;$41.57;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Australian Emu 1 oz Silver 2020 Proof;$52.62;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Australian Emu 1 oz Silver 2020;$45.02;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Crested Penguin 1 oz Silver 2020;$34.74;40 mm;1 oz;Ag .999;1$;Reeded;New Zealand Post
Big Five: Rhino 1 oz Silver 2020;$103.93;38,7 mm;1 oz;Ag .999;5 Rand;Reeded;The South Africa Mint
Australian Kangaroo 1 oz Silver 2020;$33.42;40,6 mm;1 oz;Ag .9999;1 AUD;Interrupted Reeded;Perth Mint
Koala 1 oz Silver 2020;$48.68;40,6 mm;1 oz;Ag .9999;1$;Reeded;Perth Mint
Australian Emu 1 oz Silver 2018 Proof COA from 1 to 20;$131.56-$263.12;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Australian Emu 1 oz Silver 2019 Proof COA from 1 to 20;$144.72-$263.12;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
2-Coin Set Australian Emu 1 oz Silver Proof 2018 and 2019;$110.51;40,6 mm;2 oz;Ag .9999;null;Reeded;Perth Mint
Australian Emu 1 oz Silver 2019;$59.21;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Australian Emu 1 oz Silver 2019 Proof;$55.26;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Australian Emu 1 oz Silver 2018 Proof;$57.89;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
Wedge-Tailed Eagle 1 oz Silver 2018;$52.62;40,6 mm;1 oz;Ag .9999;1$;Reeded;Perth Mint
Australian Emu 1 oz Silver 2018;$78.42;40,6 mm;1 oz;Ag .9999;1 AUD;Reeded;Perth Mint
